	FIRST_IGN	STATE	year	month	day	count
541669	72	AL	2016	7	2	1
541670	72	AL	2016	7	4	1
541671	72	AL	2016	7	25	1
541672	72	AL	2016	9	12	1
541673	71	AL	2016	9	22	1
541674	72	AL	2016	9	29	1
541675	73	AL	2016	11	1	1
541676	73	AL	2016	11	16	1
541677	72	AL	2016	11	26	1
541678	73	AL	2016	5	12	1
541679	73	AL	2016	7	1	1
541680	72	AL	2016	11	12	1
541681	72	AL	2016	11	28	1
541682	72	AL	2016	12	23	1
541683	72	AL	2016	3	12	1
541684	72	AL	2016	7	16	1
541685	73	AL	2016	9	8	1
541686	72	AL	2016	12	4	1
541687	72	AL	2016	3	22	1
541688	72	AL	2016	3	14	1
541689	72	AL	2016	5	4	1
541690	72	AL	2016	9	7	1
541691	72	AL	2016	11	27	1
541692	73	AL	2016	5	17	1
541693	72	AL	2016	9	16	1
541694	73	AL	2016	10	8	1
541695	73	AL	2016	10	9	1
541696	73	AL	2016	10	14	1
541697	73	AL	2016	10	21	1
541698	73	AL	2016	10	24	1
541699	73	AL	2016	10	30	1
541700	73	AL	2016	11	9	1
541701	72	AL	2016	1	30	1
541702	72	AL	2016	2	15	1
541703	72	AL	2016	9	6	1
541704	72	AL	2016	2	8	1
541705	72	AL	2016	2	27	1
541706	72	AL	2016	5	28	1
541707	72	AL	2016	9	14	1
541708	72	AL	2016	10	25	1
541709	72	AL	2016	2	5	1
541710	72	AL	2016	2	15	1
541711	72	AL	2016	11	11	1
541712	71	AL	2016	11	15	1
541713	73	AL	2016	11	19	1
541714	72	AL	2016	11	20	1
541715	72	AL	2016	2	20	1
541716	72	AL	2016	2	13	1
541717	72	AL	2016	3	29	1
541718	72	AL	2016	5	14	1
541719	72	AL	2016	6	23	1
541720	72	AL	2016	7	4	1
541721	73	AL	2016	7	12	1
541722	72	AL	2016	7	27	1
541723	72	AL	2016	9	4	1
541724	73	AL	2016	9	19	1
541725	72	AL	2016	9	24	1
541726	72	AL	2016	9	28	1
541727	72	AL	2016	11	6	1
541728	72	AL	2016	11	6	1
541729	72	AL	2016	11	12	1
541730	72	AL	2016	11	23	1
541731	72	AL	2016	12	9	1
541732	73	AL	2016	12	11	1
541733	73	AL	2016	12	20	1
541734	73	AL	2016	3	16	1
541735	72	AL	2016	4	20	1
541736	72	AL	2016	4	25	1
541737	72	AL	2016	5	7	1
541738	72	AL	2016	7	6	1
541739	73	AL	2016	11	27	1
541740	73	AL	2016	12	16	1
541741	72	AL	2016	5	29	1
541742	72	AL	2016	10	25	1
541743	73	AL	2016	11	18	1
541744	72	AL	2016	3	13	1
541745	73	AL	2016	9	18	1
541746	73	AL	2016	10	2	1
541747	72	AL	2016	10	9	1
541748	73	AL	2016	10	12	1
541749	73	AL	2016	10	12	1
541750	73	AL	2016	11	8	1
541751	72	AL	2016	1	30	1
541752	72	AL	2016	2	14	1
541753	73	AL	2016	3	15	1
541754	71	AL	2016	9	9	1
541755	72	AL	2016	3	8	1
541756	72	AL	2016	3	8	1
541757	72	AL	2016	3	20	1
541758	72	AL	2016	3	21	1
541759	72	AL	2016	5	24	1
541760	73	AL	2016	6	1	1
541761	71	AL	2016	6	20	1
541762	72	AL	2016	7	4	1
541763	72	AL	2016	7	25	1
541764	71	AL	2016	8	26	1
